DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2022-09-27,10115.59,0.0,10115.59,101.1559,101.1065,83.8251
2022-09-28,10115.59,0.0,10115.59,101.1559,101.1065,85.1114
2022-09-29,10115.59,0.0,10115.59,101.1559,101.1065,83.1676
2022-09-30,10115.59,0.0,10115.59,101.1559,101.1065,84.4968
2022-10-03,10115.59,0.0,10115.59,101.1559,101.1065,84.6683
2022-10-04,10115.59,0.0,10115.59,101.1559,101.1065,88.2701
2022-10-05,10115.59,0.0,10115.59,101.1559,101.1065,87.5268
2022-10-06,10115.59,0.0,10115.59,101.1559,101.1065,86.312
2022-10-07,10115.59,0.0,10115.59,101.1559,101.1065,84.5254
2022-10-10,10115.59,0.0,10115.59,101.1559,101.1065,84.897
2022-10-11,10115.59,0.0,10115.59,101.1559,101.1065,84.5254
2022-10-12,10115.59,0.0,10115.59,101.1559,101.1065,84.1681
2022-10-13,10115.59,0.0,10115.59,101.1559,101.1065,84.8398
2022-10-14,10115.59,0.0,10115.59,101.1559,101.1065,85.2686
2022-10-17,10115.59,0.0,10115.59,101.1559,101.1065,85.3973
2022-10-18,10115.59,0.0,10115.59,101.1559,101.1065,86.2119
2022-10-19,10115.59,0.0,10115.59,101.1559,101.1065,86.9266
2022-10-20,10115.59,0.0,10115.59,101.1559,101.1065,88.1128
2022-10-21,10115.59,0.0,10115.59,101.1559,101.1065,87.6698
2022-10-24,10115.59,0.0,10115.59,101.1559,101.1065,89.2562
2022-10-25,10115.59,0.0,10115.59,101.1559,101.1065,95.1734
2022-10-26,10115.59,0.0,10115.59,101.1559,101.1065,95.402
2022-10-27,10115.59,0.0,10115.59,101.1559,101.1065,94.6016
2022-10-28,10115.59,0.0,10115.59,101.1559,101.1065,95.8308
2022-10-31,10115.59,0.0,10115.59,101.1559,101.1065,95.0304
2022-11-01,10115.59,0.0,10115.59,101.1559,101.1065,94.7017
2022-11-02,10115.59,0.0,10115.59,101.1559,101.1065,93.3868
2022-11-03,10115.59,0.0,10115.59,101.1559,101.1065,93.6583
2022-11-04,10115.59,0.0,10115.59,101.1559,101.1065,95.4735
2022-11-07,10115.59,0.0,10115.59,101.1559,101.1065,96.0881
2022-11-08,10115.59,0.0,10115.59,101.1559,101.1065,96.7027
2022-11-09,10115.59,0.0,10115.59,101.1559,101.1065,96.6455
2022-11-10,10115.59,0.0,10115.59,101.1559,101.1065,98.7036
2022-11-11,10115.59,0.0,10115.59,101.1559,101.1065,97.0171
2022-11-14,10115.59,0.0,10115.59,101.1559,101.1065,98.4463
2022-11-15,10115.59,0.0,10115.59,101.1559,101.1065,98.5035
2022-11-16,10115.59,0.0,10115.59,101.1559,101.1065,98.1891
2022-11-17,10115.59,0.0,10115.59,101.1559,101.1065,96.8885
2022-11-18,10115.59,0.0,10115.59,101.1559,101.1065,98.1319
2022-11-21,10115.59,0.0,10115.59,101.1559,101.1065,98.1033
2022-11-22,10115.59,0.0,10115.59,101.1559,101.1065,98.1748
2022-11-23,10115.59,0.0,10115.59,101.1559,101.1065,100.2901
2022-11-24,10115.59,0.0,10115.59,101.1559,101.1065,101.2191
2022-11-25,10115.59,0.0,10115.59,101.1559,101.1065,101.605
2022-11-28,10115.59,0.0,10115.59,101.1559,101.1065,101.2048
2022-11-29,10115.59,0.0,10115.59,101.1559,101.1065,99.6469
2022-11-30,10115.59,0.0,10115.59,101.1559,101.1065,99.261
2022-12-01,10115.59,0.0,10115.59,101.1559,101.1065,100.19
2022-12-02,10115.59,0.0,10115.59,101.1559,101.1065,100.8904
2022-12-05,10115.59,0.0,10115.59,101.1559,101.1065,100.7046
2022-12-06,10115.59,0.0,10115.59,101.1559,101.1065,100.1757
2022-12-07,10115.59,0.0,10115.59,101.1559,101.1065,99.1896
2022-12-08,10115.59,0.0,10115.59,101.1559,101.1065,99.1038
2022-12-09,10115.59,0.0,10115.59,101.1559,101.1065,98.2748
2022-12-12,10115.59,0.0,10115.59,101.1559,101.1065,97.8175
2022-12-13,10115.59,0.0,10115.59,101.1559,101.1065,99.2467
2022-12-14,10115.59,0.0,10115.59,101.1559,101.1065,99.2181
2022-12-15,10115.59,0.0,10115.59,101.1559,101.1065,96.3025
2022-12-16,10115.59,0.0,10115.59,101.1559,101.1065,95.3592
2022-12-19,10115.59,0.0,10115.59,101.1559,101.1065,95.6021
2022-12-20,10115.59,0.0,10115.59,101.1559,101.1065,95.9594
2022-12-21,10115.59,0.0,10115.59,101.1559,101.1065,97.3172
2022-12-22,10115.59,0.0,10115.59,101.1559,101.1065,95.988
2022-12-23,10115.59,0.0,10115.59,101.1559,101.1065,96.0309
