DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2023-03-03,6446.0,3745.08,10191.08,101.9108,99.584,111.6559,36.7486,2
2023-03-06,6446.0,3768.96,10214.96,102.1496,99.7577,112.1859,36.8965,2
2023-03-07,6446.0,3745.5,10191.5,101.915,99.6139,111.7474,36.7512,2
2023-03-08,6446.0,3735.15,10181.15,101.8115,99.5496,111.5513,36.6869,2
2023-03-09,6446.0,3709.05,10155.05,101.5505,99.4128,111.1333,36.5242,2
2023-03-10,6446.0,3684.36,10130.35,101.3035,98.9827,109.8171,36.3695,2
2023-03-13,4549.71,5328.21,9877.92,98.7792,97.8093,106.2375,53.9406,4
2023-03-14,4549.71,5447.99,9997.71,99.9771,98.8063,108.2451,54.4924,4
2023-03-15,4549.71,5183.71,9733.42,97.3342,96.8236,104.259,53.2568,4
2023-03-16,4549.71,5254.17,9803.88,98.0388,97.728,106.0877,53.5927,4
2023-03-17,4549.71,5194.29,9744.01,97.4401,96.7871,104.1818,53.3076,4
2023-03-20,1775.35,8088.26,9863.61,98.6361,97.3616,105.3419,82.001,4
2023-03-21,1775.35,8282.01,10057.36,100.5736,99.036,107.5511,82.3477,4
2023-03-22,1775.35,8288.35,10063.71,100.6371,98.9533,107.4421,82.3589,4
2023-03-23,1775.35,8199.89,9975.24,99.7524,98.4454,106.7725,82.2024,4
2023-03-24,1775.35,7960.36,9735.71,97.3571,96.2008,103.811,81.7645,4
2023-03-27,1775.35,8045.8,9821.15,98.2115,97.0496,104.9311,81.9232,4
