DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2024-11-29,BNP.PA,CANAL,,"clôture entre 47,92 € et 60,17 € au 2024-12-31",47.92,60.172,2024-12-31,52.259857177734375,CONFIRMEE
2024-11-29,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,2.743221931549833,CONFIRMEE
2024-11-29,TTE.PA,CANAL,,"clôture entre 47,77 € et 56,24 € au 2024-12-31",47.77,56.238,2024-12-31,48.35386657714844,CONFIRMEE
2024-11-29,TTE.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-12-31",,0.0,2024-12-31,-4.722525045389747,CONFIRMEE
2024-11-29,SU.PA,CANAL,,"clôture entre 239,65 € et 253,68 € au 2024-12-31",239.64600000000002,253.67600000000002,2024-12-31,233.003662109375,DEMENTIE
2024-11-29,SU.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,-2.8796136363901437,CONFIRMEE
2024-11-29,AI.PA,CANAL,,"clôture entre 134,95 € et 162,06 € au 2024-12-31",134.952,162.062,2024-12-31,137.1903076171875,CONFIRMEE
2024-11-29,AI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,-2.0407386582053877,CONFIRMEE
2024-11-29,DG.PA,CANAL,,"clôture entre 89,74 € et 109,74 € au 2024-12-31",89.744,109.738,2024-12-31,93.0333023071289,CONFIRMEE
2024-11-29,DG.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,-1.932014015480732,CONFIRMEE
2024-11-29,CAP.PA,CANAL,,"clôture entre 136,21 € et 190,58 € au 2024-12-31",136.208,190.57999999999998,2024-12-31,149.77024841308594,CONFIRMEE
2024-11-29,CAP.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-12-31",,0.0,2024-12-31,2.302707155387518,DEMENTIE
2024-11-29,RI.PA,CANAL,,"clôture entre 90,42 € et 84,29 € au 2024-12-31",90.416,84.28999999999999,2024-12-31,99.51241302490234,DEMENTIE
