DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,REPLI_SOUS_SEUIL,SOUS_ECHANTILLON,RENDEMENT_20
2023-08-04,SAF.PA,non,oui,non,non,non,-0.1367
2023-08-04,AIR.PA,oui,non,non,non,non,2.3394
2023-08-04,PUB.PA,non,oui,oui,non,non,-1.9762
2023-08-04,SGO.PA,non,oui,oui,non,non,-1.7289
2023-08-04,MC.PA,oui,non,non,non,non,-4.9265
2023-08-04,CAP.PA,non,non,non,non,non,5.9766
2023-08-11,ENGI.PA,oui,non,non,non,non,2.3044
2023-08-11,AC.PA,oui,non,non,non,non,1.0785
2023-08-11,EN.PA,non,oui,non,non,non,-0.1258
2023-08-11,TTE.PA,non,oui,oui,non,non,5.6148
2023-08-11,SAF.PA,non,oui,non,non,non,0.9378
2023-08-11,AIR.PA,oui,non,non,non,non,3.5949
2023-08-11,PUB.PA,non,oui,non,non,non,0.493
2023-08-11,SGO.PA,non,oui,oui,non,non,-5.9508
2023-08-11,MC.PA,oui,non,non,non,non,-9.8001
2023-08-11,CAP.PA,non,non,non,non,non,4.5427
2023-08-18,ENGI.PA,oui,non,non,non,oui,4.1815
2023-08-18,AC.PA,oui,non,non,non,oui,6.2577
2023-08-18,EN.PA,non,non,non,non,oui,6.859
2023-08-18,TTE.PA,non,oui,oui,non,oui,9.4019
2023-08-18,SAF.PA,non,non,non,non,oui,6.2753
2023-08-18,AIR.PA,oui,non,non,non,oui,3.6464
2023-08-18,PUB.PA,non,non,non,non,oui,3.3521
2023-08-18,SGO.PA,non,oui,non,non,oui,-3.3924
2023-08-18,MC.PA,oui,non,non,non,oui,-2.0208
2023-08-18,CAP.PA,oui,non,non,non,oui,6.1467
2023-08-25,ENGI.PA,non,oui,non,non,non,1.1086
2023-08-25,AC.PA,oui,non,non,non,non,1.979
2023-08-25,EN.PA,non,non,non,non,non,6.5516
2023-08-25,TTE.PA,non,oui,oui,non,non,9.2906
2023-08-25,SAF.PA,non,non,non,non,non,1.4473
2023-08-25,AIR.PA,oui,non,non,non,non,-4.6197
2023-08-25,PUB.PA,non,non,non,non,non,-0.1403
2023-08-25,SGO.PA,oui,non,non,non,non,-3.2908
2023-08-25,MC.PA,oui,non,non,non,non,-6.749
2023-08-25,CAP.PA,non,non,non,non,non,2.5838
2023-09-01,ENGI.PA,non,oui,non,non,non,-1.9568
2023-09-01,AC.PA,oui,non,non,non,non,-4.7704
2023-09-01,EN.PA,non,non,non,non,non,4.1156
2023-09-01,TTE.PA,non,oui,oui,non,non,7.0642
2023-09-01,SAF.PA,non,non,non,non,non,1.7664
2023-09-01,AIR.PA,non,oui,non,non,non,-5.1397
2023-09-01,PUB.PA,non,non,non,non,non,-0.9113
2023-09-01,SGO.PA,non,non,non,non,non,-5.5934
2023-09-01,MC.PA,oui,non,non,non,non,-7.6566
2023-09-01,CAP.PA,non,oui,non,non,non,-3.6047
2023-09-08,ENGI.PA,non,oui,non,non,non,-4.6938
2023-09-08,AC.PA,non,oui,non,non,non,-5.9277
2023-09-08,EN.PA,non,oui,non,non,non,2.6763
2023-09-08,TTE.PA,non,oui,oui,non,non,1.1208
2023-09-08,SAF.PA,non,oui,non,non,non,-2.5313
2023-09-08,AIR.PA,non,oui,non,non,non,-8.2398
2023-09-08,PUB.PA,non,oui,non,non,non,-2.0714
2023-09-08,SGO.PA,oui,non,non,non,non,-5.0549
2023-09-08,MC.PA,oui,non,non,non,non,-1.3919
2023-09-08,CAP.PA,non,oui,non,non,non,-2.936
2023-09-15,ENGI.PA,non,oui,non,non,oui,-2.7767
2023-09-15,AC.PA,non,oui,non,non,oui,-10.7102
2023-09-15,EN.PA,non,oui,oui,non,oui,-3.4193
2023-09-15,TTE.PA,non,oui,oui,non,oui,2.4857
2023-09-15,SAF.PA,non,oui,oui,non,oui,-2.1913
2023-09-15,AIR.PA,oui,oui,non,non,oui,-7.1276
2023-09-15,PUB.PA,non,oui,non,non,oui,2.671
2023-09-15,SGO.PA,oui,non,non,non,oui,-7.0405
2023-09-15,MC.PA,non,non,non,non,oui,-13.216
2023-09-15,CAP.PA,non,oui,non,non,oui,-2.5867
2023-09-22,ENGI.PA,non,oui,non,non,non,-1.8051
2023-09-22,AC.PA,oui,oui,non,non,non,-10.4912
2023-09-22,EN.PA,non,oui,oui,non,non,-6.5087
2023-09-22,TTE.PA,non,oui,oui,non,non,1.0661
2023-09-22,SAF.PA,non,oui,non,non,non,-1.5353
2023-09-22,AIR.PA,oui,non,non,non,non,-2.1149
2023-09-22,PUB.PA,oui,non,non,non,non,1.0118
2023-09-22,SGO.PA,oui,non,non,non,non,-11.3486
2023-09-22,MC.PA,oui,non,non,non,non,-9.3268
2023-09-22,CAP.PA,non,non,non,non,non,-2.1289
2023-09-29,ENGI.PA,oui,non,non,non,non,2.6979
2023-09-29,AC.PA,oui,non,non,non,non,-6.6061
2023-09-29,EN.PA,non,oui,non,non,non,-4.8884
2023-09-29,TTE.PA,non,oui,oui,non,non,1.1074
2023-09-29,SAF.PA,non,oui,non,non,non,-1.3321
2023-09-29,AIR.PA,oui,non,non,non,non,-1.5908
2023-09-29,PUB.PA,non,non,non,non,non,0.864
2023-09-29,SGO.PA,oui,non,non,non,non,-9.564
2023-09-29,MC.PA,oui,non,non,non,non,-7.6773
2023-09-29,CAP.PA,non,non,non,non,non,-3.076
2023-10-06,ENGI.PA,oui,non,non,non,non,7.2318
2023-10-06,AC.PA,oui,non,non,non,non,-6.4272
2023-10-06,EN.PA,non,non,non,non,non,2.8519
2023-10-06,TTE.PA,non,oui,non,non,non,3.298
2023-10-06,SAF.PA,oui,non,non,non,non,3.6469
2023-10-06,AIR.PA,oui,non,non,non,non,3.8462
2023-10-06,PUB.PA,non,non,non,non,non,-0.167
2023-10-06,SGO.PA,oui,non,non,non,non,-0.3672
2023-10-06,MC.PA,non,non,non,non,non,-3.6865
2023-10-06,CAP.PA,non,non,non,non,non,4.9909
2023-10-13,ENGI.PA,non,non,non,non,oui,3.5328
2023-10-13,AC.PA,oui,non,non,non,oui,-3.1361
2023-10-13,EN.PA,non,non,non,non,oui,5.4969
2023-10-13,TTE.PA,non,non,oui,non,oui,-1.7888
2023-10-13,SAF.PA,non,non,non,non,oui,2.6831
2023-10-13,AIR.PA,oui,non,non,non,oui,5.346
2023-10-13,PUB.PA,non,oui,oui,non,oui,-6.61
2023-10-13,SGO.PA,oui,non,non,non,oui,1.9169
2023-10-13,MC.PA,oui,non,non,non,oui,4.0115
2023-10-13,CAP.PA,non,oui,non,non,oui,3.7115
2023-10-20,ENGI.PA,non,oui,non,non,non,6.2092
2023-10-20,AC.PA,oui,non,non,non,non,6.2669
2023-10-20,EN.PA,oui,non,non,non,non,11.7421
2023-10-20,TTE.PA,non,oui,non,non,non,-1.2146
2023-10-20,SAF.PA,oui,oui,non,non,non,10.7769
2023-10-20,AIR.PA,oui,non,non,non,non,9.0714
2023-10-20,PUB.PA,oui,oui,non,non,non,2.8102
2023-10-20,SGO.PA,oui,non,non,non,non,17.303
2023-10-20,MC.PA,oui,non,non,non,non,7.1687
2023-10-20,CAP.PA,non,oui,non,non,non,9.0073
2023-10-27,ENGI.PA,non,oui,non,non,non,5.5757
2023-10-27,AC.PA,oui,non,non,non,non,6.1683
2023-10-27,EN.PA,oui,non,non,non,non,10.8185
2023-10-27,TTE.PA,non,oui,non,non,non,0.2222
2023-10-27,SAF.PA,oui,oui,non,non,non,9.7913
2023-10-27,AIR.PA,non,oui,non,non,non,7.7625
2023-10-27,PUB.PA,non,oui,non,non,non,3.2882
2023-10-27,SGO.PA,oui,non,non,non,non,13.1998
2023-10-27,MC.PA,oui,non,non,non,non,6.8793
2023-10-27,CAP.PA,oui,non,non,non,non,13.2856
2023-11-03,ENGI.PA,non,oui,non,non,non,5.8862
2023-11-03,AC.PA,oui,non,non,non,non,9.2929
2023-11-03,EN.PA,non,oui,non,non,non,4.5021
2023-11-03,TTE.PA,non,oui,non,non,non,0.0481
2023-11-03,SAF.PA,non,non,non,non,non,8.7165
2023-11-03,AIR.PA,non,oui,non,non,non,6.989
2023-11-03,PUB.PA,oui,non,non,non,non,9.0326
2023-11-03,SGO.PA,non,non,non,non,non,10.2451
2023-11-03,MC.PA,non,non,non,non,non,-0.5122
2023-11-03,CAP.PA,non,oui,oui,non,non,7.7499
2023-11-10,ENGI.PA,non,oui,non,non,oui,6.1184
2023-11-10,AC.PA,oui,non,non,non,oui,16.1883
2023-11-10,EN.PA,non,oui,oui,non,oui,6.0053
2023-11-10,TTE.PA,oui,non,non,non,oui,-0.2257
2023-11-10,SAF.PA,non,oui,non,non,oui,7.5255
2023-11-10,AIR.PA,non,oui,non,non,oui,10.383
