TIRAGE,UNIVERS,TOP10
843,97.2083,90.9609
844,98.5796,94.1247
845,100.1185,87.6232
846,97.3142,93.6084
847,94.6928,87.4852
848,97.6276,95.4074
849,99.8837,95.8341
850,99.547,91.2079
851,95.2128,96.1067
852,87.3273,89.7611
853,92.6305,94.9292
854,99.1082,91.1123
855,94.86,88.6743
856,95.2757,91.4588
857,94.8099,91.2503
858,103.0986,89.3499
859,97.6301,93.9239
860,107.7159,94.9265
861,102.7929,93.8371
862,94.9842,99.5221
863,103.1584,86.2958
864,104.02,90.9244
865,98.8868,96.5041
866,94.2991,93.4867
867,99.631,98.5981
868,92.9284,97.6098
869,92.5895,92.3314
870,94.4473,94.5747
871,100.4379,88.8585
872,103.0016,90.9753
873,96.8888,94.4113
874,97.2835,94.384
875,93.4422,88.6217
876,100.4903,94.0466
877,100.6977,95.0219
878,98.5067,89.4172
879,96.6893,91.317
880,102.0748,92.8283
881,96.4691,97.3193
882,95.9253,92.8908
883,94.5541,94.1303
884,99.7043,96.7424
885,100.8221,94.8222
886,97.6518,96.7635
887,97.9959,92.4392
888,96.2066,93.3066
889,106.2512,94.792
890,93.8567,89.6172
891,94.2641,98.006
892,99.9558,87.7445
893,101.4782,93.1288
894,87.5544,94.4697
895,101.4994,93.2533
896,101.8828,87.1291
897,93.6117,96.4406
898,103.1723,91.4314
899,104.6783,92.7617
900,94.7789,92.2099
901,99.107,96.1394
902,94.2874,95.0828
903,104.6879,94.9123
904,99.665,90.2322
905,94.5804,90.1002
906,92.522,91.7622
907,92.9818,92.437
908,95.6953,95.0942
909,92.7255,97.1838
910,99.4933,89.0722
911,96.9996,94.0589
912,98.2763,96.8193
913,94.472,92.4818
914,99.4875,93.3963
915,93.9578,89.5989
916,93.6136,87.6777
917,107.0084,96.9389
918,92.8915,90.7267
919,98.4104,95.1583
920,107.0362,91.8435
921,96.7188,97.637
922,98.3382,92.2973
923,99.1516,95.8678
924,94.0551,90.0571
925,94.8815,81.5779
926,90.4087,94.5757
927,88.5859,98.4531
928,96.4166,90.9012
929,90.8063,95.5809
930,96.4103,91.7743
931,98.3829,89.9778
932,96.0531,90.7236
933,101.1161,89.8107
934,94.0235,96.9436
935,99.0438,96.5437
936,93.153,94.6328
937,94.1743,90.0169
938,89.7571,95.4408
939,92.7582,93.1451
940,93.0382,94.0497
941,98.4862,96.516
942,103.296,96.8766
943,97.0796,96.8404
944,98.2239,91.1296
945,96.1044,86.3525
946,95.6814,92.3879
947,99.4318,85.8026
948,95.0785,92.3568
949,93.9965,95.1393
950,100.4229,96.6952
951,93.0236,93.0798
952,93.9344,93.1747
953,89.0642,91.0942
954,97.1012,92.2377
955,102.7514,97.1223
956,94.2508,92.1453
957,96.7289,90.1027
958,100.8803,91.167
959,94.062,91.8058
960,101.6343,95.124
961,92.6027,88.6101
